_id,title,description,pImage,images,slug,regularPrice,salePrice,stock,Category,tag
"""65bde51cfc9bbcfb802acd9b""","vivo Y28 5G (4GB RAM, 128GB, Crystal Purple)","<p>Fast Processing with MediaTek Dimensity 6020 Processor</p><p><br></p><p>Powered by a powerful octa-core MediaTek Dimensity 6020 processor, this smartphone ensures optimal performance for your daily tasks and entertainment and enables smooth application usage, multitasking and smooth operation.</p><p><br></p><p>Click Impressive Pictures</p><p><br></p><p>The dual camera system of this Vivo smartphone includes 50 MP and 2 MP rear cameras and an 8 MP front camera, which makes it a great choice for taking beautiful photos. So you can show off your style by creating artistic selfies or capturing your unique fashion choices to share with your friends on social networks.</p><p><br></p><p>Large and Clear Display</p><p><br></p><p><br></p><p>Whether you're on a business trip or vacation, the Vivo Y28 5G smartphone with a large 6.56-inch LCD screen and 1612 x 720 resolution allows for uninterrupted viewing. In addition, the 90Hz refresh rate minimizes screen tearing during gameplay and fast action for a better experience.</p><p><br></p><p>Smooth Multitasking with 4GB RAM and 128GB ROM</p><p><br></p><p><br></p><p>With 4GB of RAM, the vivo Y28 5G handles multitasking with ease, allowing you to switch between apps and tasks without any slowdown. A generous 128GB of internal memory ensures you have enough space for apps, media, and files.</p><p><br></p><p><br></p><p>Ample Battery Capacity&nbsp;</p><p><br></p><p>Thanks to the 5000 mAh lithium-ion battery, this smartphone will never run out of power at critical moments. So you'll stay charged all day and never have to worry about running out of power at crucial moments.</p>",http://localhost:8000/uploads/image-1706943201246.webp,"[""http://localhost:8000/uploads/image-1706943176984.webp"",""http://localhost:8000/uploads/image-1706943143455.webp"",""http://localhost:8000/uploads/image-1706943184615.webp"",""http://localhost:8000/uploads/image-1706943191636.webp"",""http://localhost:8000/uploads/image-1706943201246.webp""]",vivo-y28-5g-4gb-ram-128gb-crystal-purple,14999,13999,100,"[""65bdeecafc9bbcfb802ace9e""]","[""65bde4e3fc9bbcfb802acd90""]"
"""65bde71efc9bbcfb802acdd0""",Apple AirPods Pro (2nd Generation-USB C) TWS,"<p>Groundbreaking Audio Performance</p><p><br></p><p>Apple-designed H2 chip, the force behind AirPods Pro, pushes advanced audio performance even further. From smarter noise cancellation to superior three-dimensional sound and battery life, it improves on the best features of AirPods Pro in a big way.</p><p><br></p><p>Low distortion, custom-built driver and amplifier deliver crisp, clear high notes and deep, rich bass in stunning definition. Every sound is more vivid than ever.</p><p><br></p><p>Unheard of sound</p><p><br></p><p>Adaptive Audio dynamically blends Transparency mode and Active Noise Cancellation to deliver the best listening experience for you in any environment.</p><p><br></p><p>Up to 2x more Active Noise Cancellation than the previous generation AirPods Pro, so you’ll hear dramatically less noise during your commute and when you need to focus.</p><p><br></p><p>Transparency mode lets outside sound in, so you can hear what’s going on around you.</p><p><br></p><p>Conversation Awareness lowers media volume and enhances voices of people in front of you, all while reducing background noise to make it easier for you to engage with people nearby when wearing AirPods Pro.</p><p><br></p><p>Personalised Volume automatically fine-tunes the best media experience for you in the moment.</p><p><br></p><p>Personalised Spatial Audio surrounds you in sound tuned just for you. It works with dynamic head tracking to immerse you deeper in music and movies.</p><p><br></p><p>Four pairs of silicone tips are included to fit a wider range of ears, with an extra-small size. The tips create an acoustic seal to help keep out noise and secure AirPods Pro in place.</p><p><br></p><p><br></p><p>A higher level of control</p><p><br></p><p>Touch control lets you swipe the stem to adjust volume. Press the stem once to answer, mute or unmute yourself on calls</p>",http://localhost:8000/uploads/image-1706943018620.webp,"[""http://localhost:8000/uploads/image-1706943018620.webp""]",apple-airpods-pro-2nd-generation-usb-c-tws,24900,23599,100,"[""65bde460fc9bbcfb802acd85""]","[""65bde4e3fc9bbcfb802acd90""]"
"""65bde8c1fc9bbcfb802ace15""",LG 242 Litres 2 Star Frost Free Double Door,"<p><strong>Upgrade Your Kitchen with Ample Storage</strong></p><p>&nbsp;</p><p>The LG Double Door Refrigerator is a marvel of modern refrigeration technology. With a capacious 242-liter interior, it offers ample space for all your culinary essentials. The three toughened glass shelves provide robust support for your groceries, while the freezer boasts a substantial 63-liter capacity. The fresh food section, with a generous 179 liters of storage, ensures your perishables stay at their prime. This refrigerator is designed to streamline your kitchen experience, with features tailored for efficiency and freshness.</p><p>&nbsp;</p><p><strong>Effortless Storage with Thoughtful Design</strong></p><p>&nbsp;</p><p>This refrigerator is equipped to accommodate your storage needs with finesse. It boasts a 2-liter bottle storage capacity, allowing you to neatly arrange your beverages. The double-twist ice tray provides a convenient source of ice for your chilled drinks. Meanwhile, the spacious vegetable basket not only offers ample room but also ensures that your greens maintain their crispness and vitality over extended periods.</p><p>&nbsp;</p><p><strong>Hygienic and Secure Storage Solutions</strong></p><p>&nbsp;</p><p>Enjoy peace of mind with the Antibacterial Gasket, an essential feature that maintains a sterile environment within the refrigerator. It serves as a barrier against unwanted microorganisms, ensuring the purity of your stored goods. Additionally, the Anti-rat Bite feature provides an extra layer of security, safeguarding your provisions from any unexpected visitors.</p>",http://localhost:8000/uploads/image-1706943227637.webp,[],lg-242-litres-2-star-frost-free-double-door,29499,22990,100,"[""65bde7b9fc9bbcfb802acdf5""]","[""65bde4e3fc9bbcfb802acd90""]"
"""65bde913fc9bbcfb802ace1c""","Apple iPad Air 5th Generation Wi-Fi (10.9 Inch, 256GB, Space Grey, 2022 model)","<ul><li>Powerful M1 Chip&nbsp;for fiery speed</li><li>12mp Ultra Wide Front Camera With Centre Stage&nbsp;for perfect-framing</li><li>Apple Pencil and Magic Keyboard Compatibility&nbsp;maximizes productivity</li><li>27.69-centimetre (10.9‑inch) Liquid Retina display&nbsp;for sheer visibility</li><li>iPadOS17&nbsp;marks convenience and versatality</li></ul><p>&nbsp;</p><p>Are you ready to see incredible computational power combined with an elegant design? Then, get the&nbsp;Apple iPad Air 5th Generation Wifi. It is precision-engineered with a 27.69-centimeter (10.9-inch) liquid retina display for superior visual clarity. It is designed with a number of cutting-edge technologies to improve your viewing effect, including True Tone, P3 wide colour, and an anti-reflective coating. Concerned about smudges on your display? There's no need to worry because it has a fingerprint-resistant oleophobic coating. To match the rising demands of today's fast-paced world, this iPad incorporates a sophisticated M1 Chip that allows blistering performance while consuming significantly less power. While the 8-core CPU provides 60% faster performance than previous generations, the 8-core GPU easily handles 2X graphics. As a pro-multitasker, you can easily switch between heavy programs and illustrative content. Moreover, supported by the 16-core Neural Engine, you can facilitate and finish your tasks within a comparatively lesser time. Because this iPad is compatible with the smart keyboard and the 2nd generation Apple Pencil, your productivity will soar. Considering its unparalleled features, the price of&nbsp;Apple iPad Air 5th Generation Wifi&nbsp;seems quite fair.</p><p>&nbsp;</p><p>Shoot or click whenever wherever without the fear of being off-stage with&nbsp;Apple iPad Air 5th Generation Wifi. Its 13MP ultra-wide front camera features center stage offering hands-free video calling and content creation. Even if you move, the camera intends to move accordingly to keep you at the center of the frame. With the 12MP wide back camera, you can redefine your photography skills. Equipped with Smart HDR and stabilization, it allows you to relish your pictorial passion. Be endlessly wireless with advanced wifi6 connectivity, you can stream, download, and play uninterruptedly. So, what are you waiting for? Get the&nbsp;Apple iPad Air 5th Generation Wifi&nbsp;online, now!</p>",http://localhost:8000/uploads/image-1706943143455.webp,[],apple-ipad-air-5th-generation-wi-fi-109-inch-256gb-space-grey-2022-model,74900,72899,100,"[""65bdeecafc9bbcfb802ace9e""]","[""65bde4e3fc9bbcfb802acd90""]"
"""65bde9a6fc9bbcfb802ace2a""","SAMSUNG Galaxy Z Fold5 5G (12GB RAM, 1TB, Light Blue)","<p>Vibrant Display</p><p><br></p><p>Whether you're on a business trip or enjoying a vacation, the Samsung Galaxy Z Fold5 5G smartphone, with its generous 7.6-inch Dynamic AMOLED 2X screen and 2176x1812 resolution, lets you indulge in uninterrupted binge-watching. Furthermore, the high 120Hz refresh rate minimises screen tearing during gaming and fast-action scenes, delivering an enhanced experience.</p><p><br></p><p>Uninterrupted Performance</p><p><br></p><p>The smartphone's efficient Qualcomm Snapdragon 8 Gen 2 octa-core processor and 12GB RAM let you effortlessly switch between multiple apps with ease, thereby boosting your productivity.</p><p><br></p><p>Snug Fit</p><p><br></p><p>One of its remarkable qualities is its extraordinary screen, defying its size to fit comfortably in any pocket. Embrace the expanded 3.4-inch cover screen for a more immersive and enjoyable experience. Thanks to the redesigned Flex Hinge, the Samsung Galaxy Z Flip5 5G folds snugly, effortlessly fitting into your pocket as naturally as it fits in your hand.</p><p><br></p><p>Precision Photography</p><p><br></p><p>This smartphone is equipped with an advanced triple camera system, which includes rear cameras with resolutions of 10MP, 50MP, 12MP, and a 10MP front camera, ensuring high-quality photos in a wide range of shooting scenarios. Whether it's selfie moments or accurately capturing the world around you, this phone lets you do it all with ease.</p><p><br></p><p>Eye-Catching Selfies</p><p><br></p><p>You can experience the unique feature of FlexCam selfies with this 5G phone. Even when the phone is closed, you can launch the camera app instantly using the Flex Window shortcut, allowing you to seize the moment. Capture photos, fine-tune settings, and retake shots, all without the need to open your phone.</p><p><br></p><p><br></p><p>Craft Premium Video Content</p><p><br></p><p>Offering 8K recording, this Samsung smartphone lets you shoot professional-looking reels and videos. So, you can create stunning travel vlogs, product reviews, or artistic short films, all in exceptional 8K quality, giving your content a premium edge.</p><p><br></p><p><br></p><p>Massive Storage Space</p><p><br></p><p>Boasting a substantial 1TB of built-in storage, this smartphone provides abundant space for all your essential digital content. Whether you're an avid photographer, music enthusiast, or app lover, you can store all your media, apps, and files with ease.</p><p><br></p><p>Powerful Battery</p><p><br></p><p>With the 4400mAh lithium-ion battery of this device, you can watch your favourite shows, make video calls, and listen to music for hours together on a single charge. Thus, this device provides you with the freedom to enjoy your smartphone for extended periods without needing frequent recharging.</p><p><br></p><p>Hassle-Free Charging</p><p><br></p><p>Featuring wireless charging technology, this smartphone simplifies the charging process, allowing you to power up your device effortlessly and maintain a neat and tidy charging area.</p>",http://localhost:8000/uploads/image-1706943176984.webp,[],samsung-galaxy-z-fold5-5g-12gb-ram-1tb-light-blue,189999,184999,97,"[""65bdeecafc9bbcfb802ace9e""]","[""65bde4e3fc9bbcfb802acd90""]"
"""65bde9f8fc9bbcfb802ace31""","SAMSUNG Galaxy A15 5G (8GB RAM, 128GB, Blue Black)","<p>Redefining Power and Innovation 8GB RAM, 128GB Storage: Elevate Your Digital World</p><p><br></p><p>Immerse yourself in a world of limitless possibilities with the Samsung Galaxy A15 5G smartphone's impressive 8GB of RAM and expansive 128GB of internal storage. Experience unparalleled multitasking capabilities and store all your files, apps, and memories without any compromises.</p><p>&nbsp;</p><p>&nbsp;</p><p>MediaTek Dimensity 6100+ Processor: Swift and Efficient Performance</p><p><br></p><p>Unleash the potential of your smartphone experience with the MediaTek Dimensity 6100+ Processor. Featuring a 2.2GHz speed and Octa-Core configuration, the Samsung Galaxy A15 5G smartphone ensures swift and efficient performance, whether you're gaming, streaming, or multitasking. Your device adapts to your needs, delivering a responsive and lag-free experience.</p><p>&nbsp;</p><p>&nbsp;</p><p>Android 14 with One UI 6.0: A Modern Interface for a Modern Lifestyle</p><p><br></p><p>Stay at the forefront of technology with the Samsung Galaxy A15 5G&nbsp;smartphone, is smartphone, running on Android 14 with One UI 6.0. Immerse yourself in a modern and intuitive user interface, enhanced features, and the latest security updates. Your device evolves with you, ensuring a cutting-edge mobile experience.</p><p>&nbsp;</p><p>&nbsp;</p><p>Versatile Camera System: Capture Your World in Detail</p><p><br></p><p>Unleash your inner photographer with this smartphone's versatile camera system. From the impressive 50MP Main Wide Angle Camera capturing detailed scenes to the 5MP Ultra Wide Camera for expansive views, the 2MP Macro Camera for intricate details, and the 13MP Front Camera for stunning selfies, every shot becomes a masterpiece. Record your memories in Full HD Video with a maximum resolution of 1920 x 1080 at 30fps.</p><p>&nbsp;</p><p>&nbsp;</p><p>6.5-Inch Super AMOLED Display: Visual Brilliance at Your Fingertips</p><p><br></p><p>Indulge in a visual extravaganza on the 6.5-inch Super AMOLED Display. With a 19.5:9 Aspect Ratio, FHD+ Resolution (1080 x 2340 Pixels), 399 PPI, and 16M Colours, every detail is brought to life. The Dragon Trail-Pro Glass adds durability to elegance, ensuring your viewing experience is both stunning and resilient.</p><p>&nbsp;</p><p>&nbsp;</p><p>5000mAh Battery with 25W Super Fast Charging: Uninterrupted Power On-The-Go</p><p><br></p><p>Embark on endless adventures without worrying about battery life. This smartphone is equipped with a robust 5000mAh Lithium-ion Battery (Non-Removable) that keeps you connected all day long. And when it's time to recharge, the 25Watt C-Type Super Fast Charging feature ensures you spend less time tethered to an outlet, providing a quick power boost for your on-the-go adventures.</p>",http://localhost:8000/uploads/image-1706943209868.webp,[],samsung-galaxy-a15-5g-8gb-ram-128gb-blue-black,21499,19499,102,"[""65bdeecafc9bbcfb802ace9e""]","[""65bde4e3fc9bbcfb802acd90""]"
"""65bdeabffc9bbcfb802ace3e""","SAMSUNG Galaxy A15 5G (8GB RAM, 128GB, Blue Black)","<p>Redefining Power and Innovation 8GB RAM, 128GB Storage: Elevate Your Digital World</p><p><br></p><p>Immerse yourself in a world of limitless possibilities with the Samsung Galaxy A15 5G smartphone's impressive 8GB of RAM and expansive 128GB of internal storage. Experience unparalleled multitasking capabilities and store all your files, apps, and memories without any compromises.</p><p>&nbsp;</p><p>MediaTek Dimensity 6100+ Processor: Swift and Efficient Performance</p><p><br></p><p>Unleash the potential of your smartphone experience with the MediaTek Dimensity 6100+ Processor. Featuring a 2.2GHz speed and Octa-Core configuration, the Samsung Galaxy A15 5G smartphone ensures swift and efficient performance, whether you're gaming, streaming, or multitasking. Your device adapts to your needs, delivering a responsive and lag-free experience.</p><p>&nbsp;</p><p>Android 14 with One UI 6.0: A Modern Interface for a Modern Lifestyle</p><p><br></p><p>Stay at the forefront of technology with the Samsung Galaxy A15 5G&nbsp;smartphone, is smartphone, running on Android 14 with One UI 6.0. Immerse yourself in a modern and intuitive user interface, enhanced features, and the latest security updates. Your device evolves with you, ensuring a cutting-edge mobile experience.</p><p>&nbsp;</p><p>Versatile Camera System: Capture Your World in Detail</p><p><br></p><p>Unleash your inner photographer with this smartphone's versatile camera system. From the impressive 50MP Main Wide Angle Camera capturing detailed scenes to the 5MP Ultra Wide Camera for expansive views, the 2MP Macro Camera for intricate details, and the 13MP Front Camera for stunning selfies, every shot becomes a masterpiece. Record your memories in Full HD Video with a maximum resolution of 1920 x 1080 at 30fps.</p><p>&nbsp;</p><p>6.5-Inch Super AMOLED Display: Visual Brilliance at Your Fingertips</p><p><br></p><p>Indulge in a visual extravaganza on the 6.5-inch Super AMOLED Display. With a 19.5:9 Aspect Ratio, FHD+ Resolution (1080 x 2340 Pixels), 399 PPI, and 16M Colours, every detail is brought to life. The Dragon Trail-Pro Glass adds durability to elegance, ensuring your viewing experience is both stunning and resilient.</p><p>&nbsp;</p><p>5000mAh Battery with 25W Super Fast Charging: Uninterrupted Power On-The-Go</p><p><br></p><p>Embark on endless adventures without worrying about battery life. This smartphone is equipped with a robust 5000mAh Lithium-ion Battery (Non-Removable) that keeps you connected all day long. And when it's time to recharge, the 25Watt C-Type Super Fast Charging feature ensures you spend less time tethered to an outlet, providing a quick power boost for your on-the-go adventures.</p>",http://localhost:8000/uploads/image-1706943184615.webp,[],samsung-galaxy-a15-5g-8gb-ram-128gb-blue-black-new,21496,19499,100,"[""65bdeecafc9bbcfb802ace9e""]","[""65bde4e3fc9bbcfb802acd90""]"
"""65bded1afc9bbcfb802ace78""",Croma 109 cm (43 inch) Full HD LED Smart TV with Bezel Less Display (2023 model),"<p>Crisp and Clear Visuals</p><p><br></p><p>Immerse yourself in clear and detailed visuals with the Croma CREL43FSD24601 43-inch Full HD LED TV, courtesy of its resolution of 1920x1080 pixels. What’s more, with a refresh rate of up to 60Hz, this TV lets you watch fast-paced scenes with minimal motion blur.</p><p><br></p><p>Visual Brilliance Redefined</p><p><br></p><p>Enhance your entertainment as you enjoy brilliant visuals without missing even minute details with this Croma Full HD 1080p LED Smart TV.</p><p><br></p><p>20W Box Speakers</p><p><br></p><p>Housing 20W box speakers, this 43-inch TV ensures a clear and impactful sound delivery that matches its impressive visuals.</p><p><br></p><p>Linux OS</p><p><br></p><p>This Croma smart TV has an intuitive operating system that offers effortless navigation and instant access to apps, streaming services, and settings. Additionally, on this Wi-Fi TV, you can explore a wide array of entertaining apps, including ZEE5, Prime Video, SONY LIV, and YouTube.</p><p><br></p><p>Screen Mirroring</p><p><br></p><p>With the help of screen mirroring, this TV lets you share media content seamlessly from compatible devices to the big screen.</p><p><br></p><p>Multiple Ports</p><p><br></p><p>This smart TV is equipped with two HDMI ports and a USB port, enabling hassle-free connections to an array of compatible devices and peripherals.</p>",http://localhost:8000/uploads/image-1706943170005.webp,[],croma-109-cm-43-inch-full-hd-led-smart-tv-with-bezel-less-display-2023-model,34000,17690,101,"[""65bdecb8fc9bbcfb802ace6f""]","[""65bde4e3fc9bbcfb802acd90""]"
"""65c0cda7c9e72478420cdc9d""","Redmi Note 13 Pro+ 5G (12GB RAM, 512GB, Fushion Black)","<p>Innovative 200 MP Camera System</p><p><br></p><p>Experience a leap in smartphone photography with the Redmi Note 13 Pro+ 5G smartphone, boasting a groundbreaking 200 MP camera system. Capture exceptionally detailed images with the wide-angle lens, featuring a spacious f/1.7 aperture and multi-directional PDAF. Complemented by an 8 MP ultrawide lens and a 2 MP macro lens, this camera system provides versatile shooting options. Record stunning 4K@24/30fps videos and take high-quality selfies with the 16 MP front camera.</p><p>&nbsp;</p><p>Immersive Visual Delight Enhanced by Dolby Vision</p><p><br></p><p>Delve into the brilliance of the 6.67-inch AMOLED display on the Redmi Note 13 Pro+ 5G, featuring a 120Hz refresh rate, Dolby Vision. Revel in vibrant hues, profound blacks, and striking clarity with a peak brightness of 1800 nits. The Corning Gorilla Glass Victus ensures durability and shields against scratches, providing a captivating visual experience every time you engage with your device.</p><p>&nbsp;</p><p>All-Day Battery Life with Swift Charging</p><p><br></p><p>Ensure uninterrupted connectivity throughout the day with the robust 5000mAh battery capacity of this smartphone. Say goodbye to prolonged charging times with the included 120W charger featuring PD3.0 technology. Achieve a full charge in just 19 minutes, offering unparalleled convenience for your dynamic lifestyle.</p><p>&nbsp;</p><p>Durable Design with IP68 Rating</p><p><br></p><p>Engineered to withstand various elements, the Redmi Note 13 Pro+ 5G smartphone proudly carries an IP68 dust and water-resistant rating. Your device remains shielded in challenging environments, ensuring both durability and longevity. The integrated fingerprint sensor adds an additional layer of security while providing convenient unlocking.</p><p>&nbsp;</p><p>`Limitless Power and Storage</p><p><br></p><p>Embark on a new era of smartphone performance with the Redmi Note 13 Pro+ 5G smartphone. Boasting an incredible 12GB of RAM and an expansive 512GB of internal storage, this device delivers the perfect blend of speed and abundant space for all your applications, games, and multimedia content.</p><p>&nbsp;</p><p>Cutting-Edge Processor for Effortless Operation</p><p><br></p><p>At its core, the MediaTek Dimensity 7200 Ultra Processor powers the Redmi Note 13 Pro+ 5G. With its octa-core configuration and speeds reaching up to 2.8 GHz, this processor ensures swift app launches, seamless multitasking, and responsive gaming experiences. The Redmi Note 13 Pro+&nbsp;5G smartphone operates on the latest Android 13 OS, providing an intuitive and user-friendly interface.</p>",http://localhost:8000/uploads/image-1707133910392.webp,"[""http://localhost:8000/uploads/image-1707133907224.webp"",""http://localhost:8000/uploads/image-1707133903922.webp"",""http://localhost:8000/uploads/image-1707133900592.webp"",""http://localhost:8000/uploads/image-1707133896803.webp"",""http://localhost:8000/uploads/image-1707133882696.webp"",""http://localhost:8000/uploads/image-1707133878059.webp""]",redmi-note-13-pro-5g-12gb-ram-512gb-fushion-black,37999,35999,100,"[""65bdeecafc9bbcfb802ace9e""]","[""65bde4e7fc9bbcfb802acd94""]"
"""65cdb0175bdc7cf18adc1966""",product pro max,<p>product pro max</p>,http://localhost:8000/uploads/image-1706943018620.webp,"[""http://localhost:8000/uploads/image-1706943170005.webp"",""http://localhost:8000/uploads/image-1706943176984.webp"",""http://localhost:8000/uploads/image-1706943191636.webp"",""http://localhost:8000/uploads/image-1706943143455.webp""]",product-pro-max,50000,45000,120,"[""65bdeecafc9bbcfb802ace9e"",""65bde460fc9bbcfb802acd85""]","[""65bde4e3fc9bbcfb802acd90""]"
